
 !***TRACE Bacon number     1 on file (43)***

 I         289 X  4.70996E+02 Y  7.15007E+01 Z  9.25000E+01 AT           0
 I         290 X  4.70996E+02 Y  7.15007E+01 Z  1.00000E+02 AT           0
 I         291 X  4.70996E+02 Y  7.15007E+01 Z  1.07500E+02 AT           0
 I         292 X  4.70996E+02 Y  7.15007E+01 Z  1.15000E+02 AT           0
 I         293 X  4.70996E+02 Y  7.15007E+01 Z  1.22500E+02 AT           0
 I         294 X  4.70996E+02 Y  7.15007E+01 Z  1.30000E+02 AT           0
 I         295 X  4.70996E+02 Y  7.15007E+01 Z  1.37500E+02 AT           0
 I         296 X  4.70996E+02 Y  7.15007E+01 Z  1.45000E+02 AT           0
 I         297 X  4.70996E+02 Y  7.15007E+01 Z  1.52500E+02 AT           0
 I         298 X  4.70996E+02 Y  7.15007E+01 Z  1.60000E+02 AT           0
 I         299 X  4.70996E+02 Y  7.15007E+01 Z  1.67500E+02 AT           0
 I         300 X  4.70996E+02 Y  7.15007E+01 Z  1.75000E+02 AT           0
 I         301 X  4.63399E+02 Y  7.27668E+01 Z  2.50000E+01 AT           0
 I         302 X  4.63399E+02 Y  7.27668E+01 Z  4.00000E+01 AT           0
 I         303 X  4.63399E+02 Y  7.27668E+01 Z  5.50000E+01 AT           0
 I         304 X  4.63399E+02 Y  7.27668E+01 Z  7.00000E+01 AT           0
 I         305 X  4.63399E+02 Y  7.27668E+01 Z  8.50000E+01 AT           0
 I         306 X  4.63399E+02 Y  7.27668E+01 Z  1.00000E+02 AT           0
 I         307 X  4.63399E+02 Y  7.27668E+01 Z  1.15000E+02 AT           0
 I         308 X  4.63399E+02 Y  7.27668E+01 Z  1.30000E+02 AT           0
 I         309 X  4.63399E+02 Y  7.27668E+01 Z  1.45000E+02 AT           0
 I         310 X  4.63399E+02 Y  7.27668E+01 Z  1.60000E+02 AT           0
 I         311 X  4.63399E+02 Y  7.27668E+01 Z  1.75000E+02 AT           0
 I         312 X  4.55802E+02 Y  7.40329E+01 Z  2.50000E+01 AT           0
 I         313 X  4.55802E+02 Y  7.40329E+01 Z  3.25000E+01 AT           0
 I         314 X  4.55802E+02 Y  7.40329E+01 Z  4.00000E+01 AT           0
 I         315 X  4.55802E+02 Y  7.40329E+01 Z  4.75000E+01 AT           0
 I         316 X  4.55802E+02 Y  7.40329E+01 Z  5.50000E+01 AT           0
 I         317 X  4.55802E+02 Y  7.40329E+01 Z  6.25000E+01 AT           0
 I         318 X  4.55802E+02 Y  7.40329E+01 Z  7.00000E+01 AT           0
 I         319 X  4.55802E+02 Y  7.40329E+01 Z  7.75000E+01 AT           0
 I         320 X  4.55802E+02 Y  7.40329E+01 Z  8.50000E+01 AT           0
 I         321 X  4.55802E+02 Y  7.40329E+01 Z  9.25000E+01 AT           0
 I         322 X  4.55802E+02 Y  7.40329E+01 Z  1.00000E+02 AT           0
 I         323 X  4.55802E+02 Y  7.40329E+01 Z  1.07500E+02 AT           0
 I         324 X  4.55802E+02 Y  7.40329E+01 Z  1.15000E+02 AT           0
 I         325 X  4.55802E+02 Y  7.40329E+01 Z  1.22500E+02 AT           0
 I         326 X  4.55802E+02 Y  7.40329E+01 Z  1.30000E+02 AT           0
 I         327 X  4.55802E+02 Y  7.40329E+01 Z  1.37500E+02 AT           0
 I         328 X  4.55802E+02 Y  7.40329E+01 Z  1.45000E+02 AT           0
 I         329 X  4.55802E+02 Y  7.40329E+01 Z  1.52500E+02 AT           0
 I         330 X  4.55802E+02 Y  7.40329E+01 Z  1.60000E+02 AT           0
 I         331 X  4.55802E+02 Y  7.40329E+01 Z  1.67500E+02 AT           0
 I         332 X  4.55802E+02 Y  7.40329E+01 Z  1.75000E+02 AT           0
 I         333 X  4.48206E+02 Y  7.52991E+01 Z  2.50000E+01 AT           0
 I         334 X  4.48206E+02 Y  7.52991E+01 Z  4.00000E+01 AT           0
 I         335 X  4.48206E+02 Y  7.52991E+01 Z  5.50000E+01 AT           0
 I         336 X  4.48206E+02 Y  7.52991E+01 Z  7.00000E+01 AT           0
 I         337 X  4.48206E+02 Y  7.52991E+01 Z  8.50000E+01 AT           0
 I         338 X  4.48206E+02 Y  7.52991E+01 Z  1.00000E+02 AT           0
 I         339 X  4.48206E+02 Y  7.52991E+01 Z  1.15000E+02 AT           0
 I         340 X  4.48206E+02 Y  7.52991E+01 Z  1.30000E+02 AT           0
 I         341 X  4.48206E+02 Y  7.52991E+01 Z  1.45000E+02 AT           0
 I         342 X  4.48206E+02 Y  7.52991E+01 Z  1.60000E+02 AT           0
 I         343 X  4.48206E+02 Y  7.52991E+01 Z  1.75000E+02 AT           0
 I         344 X  4.40609E+02 Y  7.65652E+01 Z  2.50000E+01 AT           0
 I         345 X  4.40609E+02 Y  7.65652E+01 Z  3.25000E+01 AT           0
 I         346 X  4.40609E+02 Y  7.65652E+01 Z  4.00000E+01 AT           0
 I         347 X  4.40609E+02 Y  7.65652E+01 Z  4.75000E+01 AT           0
 I         348 X  4.40609E+02 Y  7.65652E+01 Z  5.50000E+01 AT           0
 I         349 X  4.40609E+02 Y  7.65652E+01 Z  6.25000E+01 AT           0
 I         350 X  4.40609E+02 Y  7.65652E+01 Z  7.00000E+01 AT           0
 I         351 X  4.40609E+02 Y  7.65652E+01 Z  7.75000E+01 AT           0
 I         352 X  4.40609E+02 Y  7.65652E+01 Z  8.50000E+01 AT           0
 I         353 X  4.40609E+02 Y  7.65652E+01 Z  9.25000E+01 AT           0
 I         354 X  4.40609E+02 Y  7.65652E+01 Z  1.00000E+02 AT           0
 I         355 X  4.40609E+02 Y  7.65652E+01 Z  1.07500E+02 AT           0
 I         356 X  4.40609E+02 Y  7.65652E+01 Z  1.15000E+02 AT           0
 I         357 X  4.40609E+02 Y  7.65652E+01 Z  1.22500E+02 AT           0
 I         358 X  4.40609E+02 Y  7.65652E+01 Z  1.30000E+02 AT           0
 I         359 X  4.40609E+02 Y  7.65652E+01 Z  1.37500E+02 AT           0
 I         360 X  4.40609E+02 Y  7.65652E+01 Z  1.45000E+02 AT           0
 I         361 X  4.40609E+02 Y  7.65652E+01 Z  1.52500E+02 AT           0
 I         362 X  4.40609E+02 Y  7.65652E+01 Z  1.60000E+02 AT           0
 I         363 X  4.40609E+02 Y  7.65652E+01 Z  1.67500E+02 AT           0
 I         364 X  4.40609E+02 Y  7.65652E+01 Z  1.75000E+02 AT           0
